Name,Number of Edges,Number of Vertices,Clustering Coefficient,Average Degree,Average Excess Degree,Average Distance,Size of LCC,Number of CC
net_at2008-2013,96,83,0.029259896729776247,2.313253012048193,4.041095890410959,5.690536164087801,75,5
net_at1995-1999,56,67,0.005472636815920398,1.6716417910447763,2.109375,3.3624338624338623,25,13
net_at2006-2008,45,51,0.0,1.7647058823529413,2.641509433962264,3.4597014925373135,22,8
net_at1999-2002,67,63,0.054006046863189716,2.126984126984127,3.0792079207920793,5.119252873563219,53,4
net_at2013-2018,56,60,0.0,1.8666666666666667,2.6301369863013697,4.2592592592592595,27,8
net_at1994-1995,35,44,0.0,1.5909090909090908,4.685714285714285,2.06,13,9
net_at2002-2006,86,74,0.018018018018018018,2.3243243243243246,3.1044776119402986,5.291398713826367,71,2
