Name,Number of Edges,Number of Vertices,Clustering Coefficient,Average Degree,Average Excess Degree,Average Distance,Size of LCC,Number of CC
us.115,102606,552,0.9758512183809922,371.7608695652174,429.2431717075628,1.0304736886864658,449,2
us.114,100698,545,0.9788922425583605,369.53394495412846,429.8643084305083,1.032819015045251,446,2
us.113,101270,547,0.9766290562492812,370.2742230347349,431.79296368832433,1.4579625128071199,547,1
