Name,Number of Edges,Number of Vertices,Clustering Coefficient,Average Degree,Average Excess Degree,Average Distance,Size of LCC,Number of CC
net_fr_an2007-2012,16436,599,0.5820170500528278,54.878130217028385,116.50677159590045,2.4690481906857027,599,1
net_fr_an2002-2007,28709,594,0.6962766261596133,96.66329966329965,177.62352756400188,2.3207794641184187,594,1
net_fr_an1988-1993,6216,306,0.5177347890113134,40.62745098039216,82.05735317909723,2.418411254542617,300,4
net_fr_an1986-1988,3864,325,0.5768656828935492,23.77846153846154,66.33667621776505,2.5229213137450963,323,2
net_fr_an2012-2017,11185,576,0.528373127744106,38.83680555555556,114.53410117434507,2.659692028985507,576,1
net_fr_an1997-2002,8854,561,0.5378212996943494,31.565062388591798,93.03290822136188,2.8867201426024955,561,1
net_fr_se1997-2002,5062,429,0.6232021058540478,23.5990675990676,59.28503232222775,2.6029017711260702,429,1
net_fr_se2012-2017,5823,451,0.5606398725329301,25.82261640798226,52.80167501295113,2.587090416358709,451,1
net_fr_se1986-1988,630,257,0.3268610131640645,4.902723735408561,15.728328865058087,3.773680690661479,257,1
net_fr_se1988-1993,2190,375,0.5469075560877594,11.680000000000001,34.16277985074627,2.9760713012477717,375,1
net_fr_se1993-1997,2570,393,0.5604613476348194,13.078880407124682,45.418590882178805,2.862504543802254,393,1
net_fr_se2002-2007,3411,404,0.5827695488827173,16.886138613861387,42.810156480661355,2.862221457877798,404,1
net_fr_se2007-2012,6989,496,0.662904617934428,28.181451612903224,60.48819010697107,2.646505376344086,496,1
