Name,Number of Edges,Number of Vertices,Clustering Coefficient,Average Degree,Average Excess Degree,Average Distance,Size of LCC,Number of CC
net_se2014-2018,2748,368,0.49279637824049866,14.93478260869565,20.831531867312712,3.633375859773685,152,55
net_se2010-2014,4691,387,0.5106689925251265,24.242894056847543,37.36752136752137,4.573034990581654,324,43
net_se2006-2010,5363,390,0.42150230876101563,27.5025641025641,40.1732705882353,3.3015755550250656,355,36
net_se1998-2002,5825,380,0.4592920766650589,30.657894736842106,38.91031312342788,3.0378744543128104,365,16
net_se2002-2006,6094,395,0.4892002291260111,30.855696202531647,40.03071954955701,3.049675821373935,371,25
net_se1988-1991,5418,379,0.4301847262451623,28.5910290237467,35.383810057954754,2.9953369937136944,355,25
net_se1994-1998,4922,398,0.4518301932176868,24.73366834170854,31.210185185185182,3.140270944741533,375,24
net_se1991-1994,5023,375,0.37819881625145435,26.789333333333335,35.61302334943639,3.0944282474894718,343,33
