Legislative Body,Number of Edges,Number of Vertices,Clustering Coefficient,Average Degree,Average Excess Degree,Average Distance,Size of LCC,Number of CC
net_se,210504,21504,0.39442548662317556,19.578124999999996,26.140249889953612,2.9633331500463833,398,70
net_fr_se,186725,19635,0.5681985018553977,19.019607843137255,51.7745673495664,2.7925786498954106,496,49
net_fr_an,602112,23688,0.5789211050346014,50.836879432624116,131.42447157130366,2.561458466439241,599,80
net_ch_cs,6496,1680,0.5500317067629895,7.733333333333333,14.57244785949506,1.9938107869142352,51,35
net_ch_cn,112476,7700,0.5622119130156087,29.214545454545455,47.94210871807696,2.01529244836828,226,35
uk,663,675,0.0,1.9644444444444444,236.66666666666666,1.9915823419625966,346,12
net_dk,44156,19852,0.2806131987546283,4.44851904090268,9.189913595485805,3.913436550638703,196,476
net_at,3528,3536,0.017038353803059684,1.995475113122172,3.2145214521452146,5.114910736736233,75,392
